year,zone,hour,ev_trip_start,ev_trip_elec
2015,E08000014,ONEAM,20,9.46
2015,E08000015,ONEAM,27,6.08
2015,E08000018,ONEAM,15,7.93
2015,E08000019,ONEAM,23,14.57
2015,E08000001,ONEAM,24,3.53
2015,E08000002,ONEAM,17,0.56
2015,E07000132,ONEAM,7,0.83
2015,E07000011,ONEAM,8,0.0
2015,E07000012,ONEAM,16,3.27
2015,E07000133,ONEAM,2,0.0
2015,E07000134,ONEAM,5,0.0
2015,E07000135,ONEAM,1,0.0
2015,E07000130,ONEAM,6,0.0
2015,E06000038,ONEAM,10,1.05
2015,E07000131,ONEAM,11,2.68
2015,E07000010,ONEAM,6,0.0
2015,E06000039,ONEAM,6,6.7
2015,S12000033,ONEAM,15,15.27
2015,E06000036,ONEAM,11,1.57
2015,S12000034,ONEAM,11,3.51
2015,E06000037,ONEAM,6,1.07
2015,S12000035,ONEAM,9,3.11
2015,E06000034,ONEAM,12,2.04
2015,S12000036,ONEAM,37,17.68
2015,E06000035,ONEAM,18,2.31
2015,E06000032,ONEAM,8,0.79
2015,E07000136,ONEAM,4,0.0
2015,E06000033,ONEAM,14,4.22
2015,E07000137,ONEAM,8,0.0
2015,S12000030,ONEAM,5,1.48
2015,E06000030,ONEAM,15,0.0
2015,E07000138,ONEAM,6,5.31
2015,E06000031,ONEAM,12,2.55
2015,E07000139,ONEAM,6,0.0
2015,E08000005,ONEAM,14,5.08
2015,E08000006,ONEAM,26,6.44
2015,E08000003,ONEAM,36,9.71
2015,E08000004,ONEAM,13,1.82
2015,E08000009,ONEAM,18,2.67
